Cluster,Document,Passage Index,Passage
0,employee_benefits.txt,0,"Παροχές Εργαζομένων:  
Η εταιρεία προσφέρει ένα ανταγωνιστικό πακέτο παροχών στους εργαζομένους της, το οποίο περιλαμβάνει ιατροφαρμακευτική κάλυψη, συνταξιοδοτικό πρόγραμμα και επιδόματα εκπαίδευσης. Οι εργαζόμενοι δικαιούνται επίσης πρόσβαση σε προγράμματα ευεξίας και ψυχαγωγίας. Η εταιρεία ενθαρρύνει τους εργαζομένους να συμμετέχουν σε δραστηριότητες που προάγουν την υγεία και την ευεξία"
0,employee_benefits.txt,1,"Επιπλέον, η εταιρεία παρέχει επιπλέον άδειες μητρότητας και πατρότητας, καθώς και ευέλικτες ώρες εργασίας για να υποστηρίξει την ισορροπία μεταξύ επαγγελματικής και προσωπικής ζωής. Οι εργαζόμενοι μπορούν να επιλέξουν από μια ποικιλία επιλογών παροχών που ταιριάζουν καλύτερα στις ανάγκες τους. Η εταιρεία προσφέρει επίσης προγράμματα επιβράβευσης για την αναγνώριση και την ανταμοιβή των επιτευγμάτων και της αφοσίωσης των εργαζομένων. Αυτά τα προγράμματα περιλαμβάνουν μπόνους απόδοσης, δώρα και άλλες μορφές αναγνώρισης"
0,work_life_balance.txt,0,"Πολιτική Εργασιακής Ισορροπίας:  
Η εταιρεία αναγνωρίζει τη σημασία της ισορροπίας μεταξύ επαγγελματικής και προσωπικής ζωής και δεσμεύεται να υποστηρίζει τους εργαζομένους της στην επίτευξη αυτής της ισορροπίας. Η πολιτική εργασιακής ισορροπίας περιλαμβάνει ευέλικτα ωράρια εργασίας, δυνατότητα τηλεργασίας και επιπλέον άδειες για οικογενειακούς λόγους"
0,work_life_balance.txt,1,"Οι εργαζόμενοι μπορούν να υποβάλουν αίτηση για ευέλικτο ωράριο εργασίας ή τηλεργασία, η οποία θα αξιολογηθεί από τον άμεσο προϊστάμενο και το τμήμα Ανθρώπινου Δυναμικού. Η εταιρεία παρέχει επίσης υποστήριξη για την φροντίδα παιδιών και ηλικιωμένων μέσω ειδικών προγραμμάτων και επιδομάτων. Η πολιτική εργασιακής ισορροπίας περιλαμβάνει επίσης την παροχή προγραμμάτων ευεξίας και ψυχαγωγίας για την προώθηση της υγείας και της ευεξίας των εργαζομένων"
2,performance_evaluation.txt,0,"Αξιολόγηση Απόδοσης:  
Η αξιολόγηση της απόδοσης των εργαζομένων πραγματοποιείται ετησίως από τον άμεσο προϊστάμενο σε συνεργασία με το τμήμα Ανθρώπινου Δυναμικού. Οι αξιολογήσεις βασίζονται σε συγκεκριμένα κριτήρια απόδοσης, όπως η επίτευξη των στόχων, η ποιότητα της εργασίας, και η συνεργασία με την ομάδα. Οι εργαζόμενοι ενθαρρύνονται να συμμετέχουν ενεργά στη διαδικασία αξιολόγησης, παρέχοντας αυτοαξιολογήσεις και ανατροφοδότηση"
2,performance_management.txt,0,"Πολιτική Διαχείρισης Απόδοσης:  
Η διαχείριση της απόδοσης των εργαζομένων αποτελεί βασικό στοιχείο της στρατηγικής της εταιρείας για την επίτευξη των επιχειρηματικών στόχων της. Η διαδικασία διαχείρισης απόδοσης περιλαμβάνει την καθιέρωση σαφών στόχων, την παροχή τακτικής ανατροφοδότησης και την αξιολόγηση της απόδοσης των εργαζομένων. Οι προϊστάμενοι είναι υπεύθυνοι για την παρακολούθηση της απόδοσης των εργαζομένων και την παροχή υποστήριξης για την επίτευξη των στόχων τους. Η εταιρεία προσφέρει επίσης προγράμματα ανάπτυξης και καθοδήγησης για τη βελτίωση της απόδοσης των εργαζομένων"
2,performance_management.txt,1,Η πολιτική διαχείρισης απόδοσης περιλαμβάνει επίσης την αναγνώριση και την ανταμοιβή των επιτυχιών των εργαζομένων μέσω προγραμμάτων επιβράβευσης και προαγωγών
5,performance_evaluation.txt,1,"Οι εργαζόμενοι έχουν τη δυνατότητα να συζητήσουν τα αποτελέσματα της αξιολόγησής τους με τον προϊστάμενό τους και να προτείνουν σχέδιο βελτίωσης της απόδοσής τους. Η εταιρεία παρέχει επίσης εκπαιδευτικά προγράμματα και σεμινάρια για την ανάπτυξη δεξιοτήτων που σχετίζονται με την εργασία τους. Οι αξιολογήσεις απόδοσης χρησιμοποιούνται για να εντοπιστούν οι ανάγκες εκπαίδευσης και ανάπτυξης των εργαζομένων, καθώς και για να καθοριστούν οι προαγωγές και οι αυξήσεις μισθών"
5,training_and_development.txt,0,"Πολιτική Εκπαίδευσης και Ανάπτυξης:  
Η εταιρεία δεσμεύεται να παρέχει ευκαιρίες εκπαίδευσης και ανάπτυξης στους εργαζομένους της για την ενίσχυση των δεξιοτήτων τους και την επαγγελματική τους εξέλιξη. Κάθε εργαζόμενος έχει πρόσβαση σε εκπαιδευτικά προγράμματα, σεμινάρια και εργαστήρια που σχετίζονται με το αντικείμενο της εργασίας του. Οι προϊστάμενοι ενθαρρύνουν τους εργαζομένους να συμμετέχουν σε προγράμματα εκπαίδευσης και να αναλαμβάνουν πρωτοβουλίες για την ανάπτυξη των δεξιοτήτων τους"
5,training_and_development.txt,1,"Η εταιρεία καλύπτει τα έξοδα συμμετοχής σε εκπαιδευτικά προγράμματα και παρέχει επιπλέον άδειες εκπαίδευσης όπου απαιτείται. Η πολιτική εκπαίδευσης και ανάπτυξης περιλαμβάνει επίσης προγράμματα καθοδήγησης και μέντορινγκ, που βοηθούν τους εργαζομένους να βελτιώσουν τις επαγγελματικές τους ικανότητες και να προετοιμαστούν για μελλοντικές προαγωγές"
